scenario,latent_filter_mse,constant_hold_mse,tuned_threshold_mse,raw_tactile_linear_mse,ema_tactile_linear_mse,best_baseline,latent_filter_minus_best
matched_generator,0.014533849313268168,0.0005760030736931829,0.00040100043001295216,0.0003939725328004862,0.0002127549741055893,ema_tactile_linear_mse,0.01432109433916258
low_tactile_gain,0.01240206323219138,0.0005760030736931829,0.0005767625114933098,0.0005126078660304072,0.0003360027841623123,ema_tactile_linear_mse,0.012066060448029069
tactile_bias_shift,0.0643350644467786,0.0005760030736931829,0.0019835827112621067,0.000986152813392303,0.0028455134093762317,constant_hold_mse,0.06375906137308542
friction_confound,0.05101683801981229,0.0005760030736931829,0.0013730670021577522,0.0007284461795560915,0.0018726994289375958,constant_hold_mse,0.05044083494611911
noisy_tactile,0.017886829516014804,0.0005760030736931829,0.0008830955644247173,0.0007998231486437643,0.00036131280589232496,ema_tactile_linear_mse,0.01752551671012248
