query,title,year,venue,authors,doi,url,type,source,score,tags
proprioceptive tactile sensing robot hand,Development of robotic hand tactile sensing system for distributed contact force sensing in robotic dexterous multimodal grasping,2022,International Journal of Intelligent Robotics and Applications,Congcong Mu; Yancheng Wang; Deqing Mei; Shihang Wang,10.1007/s41315-022-00260-0,https://doi.org/10.1007/s41315-022-00260-0,journal-article,Crossref,6,tactile;contact;manipulation
micro slip tactile manipulation,Tactile Sensors for Friction Estimation and Incipient Slip Detection—Toward Dexterous Robotic Manipulation: A Review,2018,IEEE Sensors Journal,Wei Chen; Heba Khamis; Ingvars Birznieks; Nathan F. Lepora; Stephen J. Redmond,10.1109/jsen.2018.2868340,https://doi.org/10.1109/jsen.2018.2868340,journal-article,Crossref,6,slip;tactile;manipulation;dynamics
slip state estimation robot manipulation,Contact State Estimation by Vision-Based Tactile Sensors for Dexterous Manipulation with Robot Hands Based on Shape-Sensing,2011,International Journal of Advanced Robotic Systems,Yuji Ito; Youngwoo Kim; Chikara Nagai; Goro Obinata,10.5772/50899,https://doi.org/10.5772/50899,journal-article,Crossref,6,tactile;contact;state;manipulation
contact state estimation dexterous manipulation,Toward a Soft Robotic Gripper Integrating High Force Grasping and Dexterous Manipulation: The SOFRo Gripper_supp4-3693142.mp4,None,,Dongjun Shin,10.1109/mra.2026.3693142/mm5,https://doi.org/10.1109/mra.2026.3693142/mm5,component,Crossref,5,contact;manipulation
contact state estimation dexterous manipulation,Toward a Soft Robotic Gripper Integrating High Force Grasping and Dexterous Manipulation: The SOFRo Gripper_supp3-3693142.mp4,None,,Dongjun Shin,10.1109/mra.2026.3693142/mm6,https://doi.org/10.1109/mra.2026.3693142/mm6,component,Crossref,5,contact;manipulation
contact state estimation dexterous manipulation,Toward a Soft Robotic Gripper Integrating High Force Grasping and Dexterous Manipulation: The SOFRo Gripper_supp6-3693142.mp4,None,,Dongjun Shin,10.1109/mra.2026.3693142/mm3,https://doi.org/10.1109/mra.2026.3693142/mm3,component,Crossref,5,contact;manipulation
contact state estimation dexterous manipulation,Toward a Soft Robotic Gripper Integrating High Force Grasping and Dexterous Manipulation: The SOFRo Gripper_supp2-3693142.mp4,None,,Dongjun Shin,10.1109/mra.2026.3693142/mm7,https://doi.org/10.1109/mra.2026.3693142/mm7,component,Crossref,5,contact;manipulation
contact state estimation dexterous manipulation,Toward a Soft Robotic Gripper Integrating High Force Grasping and Dexterous Manipulation: The SOFRo Gripper_supp1-3693142.mp4,None,,Dongjun Shin,10.1109/mra.2026.3693142/mm2,https://doi.org/10.1109/mra.2026.3693142/mm2,component,Crossref,5,contact;manipulation
contact state estimation dexterous manipulation,Toward a Soft Robotic Gripper Integrating High Force Grasping and Dexterous Manipulation: The SOFRo Gripper_supp5-3693142.mp4,None,,Dongjun Shin,10.1109/mra.2026.3693142/mm1,https://doi.org/10.1109/mra.2026.3693142/mm1,component,Crossref,5,contact;manipulation
object pose contact state estimation manipulation,ViTaDex: Vision–Tactile Fusion for 6-D Object-in-Hand Pose Estimation in Dexterous Anthropomorphic Manipulation_supp1-3646626.mp4,None,,Kun Qian,10.1109/tii.2025.3646626/mm1,https://doi.org/10.1109/tii.2025.3646626/mm1,component,Crossref,5,tactile;manipulation;dynamics
micro slip dexterous manipulation,Toward a Soft Robotic Gripper Integrating High Force Grasping and Dexterous Manipulation: The SOFRo Gripper_supp7-3693142.pdf,None,,Dongjun Shin,10.1109/mra.2026.3693142/mm4,https://doi.org/10.1109/mra.2026.3693142/mm4,component,Crossref,5,contact;manipulation
object pose contact state estimation manipulation,ViTaDex: Vision–Tactile Fusion for 6-D Object-in-Hand Pose Estimation in Dexterous Anthropomorphic Manipulation,2026,IEEE Transactions on Industrial Informatics,Ling Tong; Kun Qian; Zhaokun Yue; Shan Luo,10.1109/tii.2025.3646626,https://doi.org/10.1109/tii.2025.3646626,journal-article,Crossref,5,tactile;manipulation;dynamics
robotic hand slip estimation tactile,Calibration-free per-finger force-feedback slip control for grasping by anthropomorphic hand with tri-axial tactile sensors,2026,Frontiers in Robotics and AI,Dickson Chiu Yu Wong; Zheng H. Zhu,10.3389/frobt.2026.1735467,https://doi.org/10.3389/frobt.2026.1735467,journal-article,Crossref,5,slip;tactile;contact;manipulation
latent state manipulation tactile sensing,The Role of Touch: Towards Optimal Tactile Sensing Distribution in Anthropomorphic Hands for Dexterous In-Hand Manipulation,2025,"2025 International Conference on Networking, Sensing and Control (ICNSC)",João Damião Almeida; Egidio Falotico; Cecilia Laschi; José Santos-Victor,10.1109/icnsc66229.2025.00037,https://doi.org/10.1109/icnsc66229.2025.00037,proceedings-article,Crossref,5,tactile;manipulation
slip detection grasp control robot,Adaptive Grasp Control Framework: Integrating Slip Detection Network with Constrained Force Optimization for Dexterous Manipulation,2025,2025 IEEE International Conference on Robotics and Biomimetics (ROBIO),Hongjun Ma; Weichang Li; Zhihua Yang; Che Hou,10.1109/robio66223.2025.11376097,https://doi.org/10.1109/robio66223.2025.11376097,proceedings-article,Crossref,5,slip;contact;manipulation
