task,protocol,control_mse,state_mae,late_intervention,overgrip_penalty,dropped_contact,shift_regret,observability_recall,excitation_coverage,update_abstention,utility,weight
t00,constant,0.123072,0.252363,0.256363,0.032050,0.131401,0.093132,0.000000,0.000000,0.000000,-0.311684,5400
t00,ema_tactile,0.111208,0.251589,0.232333,0.071500,0.097581,0.109091,0.216480,0.158000,0.000000,-0.119608,5400
t00,excitation_aware,0.055062,0.183694,0.067640,0.050546,0.000837,0.055699,0.590351,0.537333,0.124607,0.759287,5400
t00,friction_proxy,0.108639,0.249504,0.174167,0.112000,0.081985,0.125378,0.228667,0.160667,0.000000,-0.020792,5400
t00,old_latent,0.107303,0.249205,0.199654,0.084115,0.072440,0.114271,0.379200,0.266667,0.000000,0.058837,5400
t00,oracle,0.020733,0.118795,0.021624,0.015904,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,5400
t00,raw_tactile,0.121047,0.283816,0.196332,0.083761,0.107499,0.137072,0.175040,0.132000,0.000000,-0.173325,5400
t00,threshold,0.111343,0.269205,0.242371,0.153408,0.110428,0.102877,0.174200,0.123600,0.000000,-0.237936,5400
t01,constant,0.137922,0.257340,0.290716,0.032050,0.156542,0.093781,0.000000,0.000000,0.000000,-0.435159,5400
t01,ema_tactile,0.119276,0.255237,0.257703,0.071500,0.118255,0.109091,0.216480,0.158000,0.000000,-0.221033,5400
t01,excitation_aware,0.058827,0.187285,0.074563,0.052301,0.004033,0.055699,0.590351,0.537333,0.136181,0.726566,5400
t01,friction_proxy,0.115443,0.253080,0.192759,0.112000,0.099472,0.125378,0.228667,0.160667,0.000000,-0.102399,5400
t01,old_latent,0.114606,0.252861,0.221304,0.084115,0.091349,0.114271,0.379200,0.266667,0.000000,-0.031590,5400
t01,oracle,0.021424,0.122411,0.022345,0.016608,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,5400
t01,raw_tactile,0.129031,0.287479,0.217432,0.083761,0.128428,0.137072,0.175040,0.132000,0.000000,-0.268020,5400
t01,threshold,0.120083,0.272935,0.269103,0.153408,0.132896,0.102877,0.174200,0.123600,0.000000,-0.346440,5400
t02,constant,0.134361,0.256280,0.281633,0.032050,0.149949,0.093648,0.000000,0.000000,0.000000,-0.406929,5400
t02,ema_tactile,0.117227,0.254428,0.250864,0.071500,0.112838,0.109091,0.216480,0.158000,0.000000,-0.194455,5400
t02,excitation_aware,0.057851,0.186388,0.072747,0.051774,0.002936,0.055699,0.590351,0.537333,0.133251,0.735572,5400
t02,friction_proxy,0.113817,0.252245,0.187952,0.112000,0.095059,0.125378,0.228667,0.160667,0.000000,-0.081886,5400
t02,old_latent,0.112840,0.252046,0.215487,0.084115,0.086453,0.114271,0.379200,0.266667,0.000000,-0.008249,5400
t02,oracle,0.021255,0.121594,0.022085,0.016388,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,5400
t02,raw_tactile,0.127068,0.286566,0.212067,0.083761,0.123201,0.137072,0.175040,0.132000,0.000000,-0.244278,5400
t02,threshold,0.117841,0.272035,0.261925,0.153408,0.127011,0.102877,0.174200,0.123600,0.000000,-0.317922,5400
t03,constant,0.129415,0.254561,0.269610,0.032050,0.141206,0.093438,0.000000,0.000000,0.000000,-0.364588,5400
t03,ema_tactile,0.114459,0.253135,0.241744,0.071500,0.105541,0.109091,0.216480,0.158000,0.000000,-0.158544,5400
t03,excitation_aware,0.056584,0.185159,0.070369,0.051125,0.001772,0.055699,0.590351,0.537333,0.129243,0.746908,5400
t03,friction_proxy,0.111446,0.251083,0.181423,0.112000,0.089040,0.125378,0.228667,0.160667,0.000000,-0.053606,5400
t03,old_latent,0.110261,0.250828,0.207927,0.084115,0.079962,0.114271,0.379200,0.266667,0.000000,0.023111,5400
t03,oracle,0.021112,0.120352,0.021808,0.016124,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,5400
t03,raw_tactile,0.124341,0.285357,0.204850,0.083761,0.116074,0.137072,0.175040,0.132000,0.000000,-0.212009,5400
t03,threshold,0.114826,0.270832,0.252389,0.153408,0.119236,0.102877,0.174200,0.123600,0.000000,-0.280028,5400
t04,constant,0.136158,0.256747,0.286558,0.032050,0.153408,0.093705,0.000000,0.000000,0.000000,-0.422157,5400
t04,ema_tactile,0.118327,0.254781,0.254527,0.071500,0.115715,0.109091,0.216480,0.158000,0.000000,-0.208556,5400
t04,excitation_aware,0.058337,0.186811,0.073686,0.052083,0.003512,0.055699,0.590351,0.537333,0.134782,0.730960,5400
t04,friction_proxy,0.114626,0.252606,0.190481,0.112000,0.097288,0.125378,0.228667,0.160667,0.000000,-0.092317,5400
t04,old_latent,0.113700,0.252363,0.218686,0.084115,0.088970,0.114271,0.379200,0.266667,0.000000,-0.020368,5400
t04,oracle,0.021387,0.121999,0.022236,0.016520,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,5400
t04,raw_tactile,0.128075,0.286971,0.214846,0.083761,0.125847,0.137072,0.175040,0.132000,0.000000,-0.256360,5400
t04,threshold,0.119034,0.272497,0.265833,0.153408,0.130094,0.102877,0.174200,0.123600,0.000000,-0.333134,5400
t05,constant,0.138888,0.257718,0.292897,0.032050,0.158092,0.093820,0.000000,0.000000,0.000000,-0.441712,5400
t05,ema_tactile,0.119722,0.255461,0.259219,0.071500,0.119568,0.109091,0.216480,0.158000,0.000000,-0.227169,5400
t05,excitation_aware,0.059034,0.187519,0.075022,0.052410,0.004379,0.055699,0.590351,0.537333,0.136881,0.724259,5400
t05,friction_proxy,0.115843,0.253293,0.193921,0.112000,0.100581,0.125378,0.228667,0.160667,0.000000,-0.107464,5400
t05,old_latent,0.115050,0.253047,0.222627,0.084115,0.092465,0.114271,0.379200,0.266667,0.000000,-0.036993,5400
t05,oracle,0.021456,0.122636,0.022355,0.016652,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,5400
t05,raw_tactile,0.129548,0.287682,0.218693,0.083761,0.129719,0.137072,0.175040,0.132000,0.000000,-0.273817,5400
t05,threshold,0.120589,0.273232,0.270753,0.153408,0.134247,0.102877,0.174200,0.123600,0.000000,-0.353080,5400
t06,constant,0.124852,0.252962,0.260564,0.032050,0.134281,0.093209,0.000000,0.000000,0.000000,-0.327827,5400
t06,ema_tactile,0.112218,0.252044,0.235451,0.071500,0.100055,0.109091,0.216480,0.158000,0.000000,-0.131997,5400
t06,excitation_aware,0.055539,0.184150,0.068564,0.050764,0.001064,0.055699,0.590351,0.537333,0.126007,0.755407,5400
t06,friction_proxy,0.109482,0.249861,0.176392,0.112000,0.083979,0.125378,0.228667,0.160667,0.000000,-0.030352,5400
t06,old_latent,0.108240,0.249672,0.202285,0.084115,0.074698,0.114271,0.379200,0.266667,0.000000,0.047792,5400
t06,oracle,0.020844,0.119218,0.021663,0.015992,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,5400
t06,raw_tactile,0.121975,0.284211,0.198882,0.083761,0.110018,0.137072,0.175040,0.132000,0.000000,-0.184615,5400
t06,threshold,0.112397,0.269700,0.245595,0.153408,0.113020,0.102877,0.174200,0.123600,0.000000,-0.250859,5400
t07,constant,0.130179,0.254862,0.272380,0.032050,0.143053,0.093457,0.000000,0.000000,0.000000,-0.373586,5400
t07,ema_tactile,0.115029,0.253364,0.244037,0.071500,0.107105,0.109091,0.216480,0.158000,0.000000,-0.166690,5400
t07,excitation_aware,0.056764,0.185341,0.070885,0.051326,0.001946,0.055699,0.590351,0.537333,0.130074,0.744863,5400
t07,friction_proxy,0.111972,0.251254,0.182853,0.112000,0.090164,0.125378,0.228667,0.160667,0.000000,-0.059354,5400
t07,old_latent,0.110758,0.251028,0.209668,0.084115,0.081260,0.114271,0.379200,0.266667,0.000000,0.016555,5400
t07,oracle,0.021122,0.120476,0.021930,0.016212,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,5400
t07,raw_tactile,0.124896,0.285530,0.206323,0.083761,0.117342,0.137072,0.175040,0.132000,0.000000,-0.218158,5400
t07,threshold,0.115427,0.271043,0.254711,0.153408,0.120797,0.102877,0.174200,0.123600,0.000000,-0.288262,5400
t08,constant,0.133532,0.256050,0.279569,0.032050,0.148455,0.093610,0.000000,0.000000,0.000000,-0.400132,5400
t08,ema_tactile,0.116766,0.254196,0.249309,0.071500,0.111558,0.109091,0.216480,0.158000,0.000000,-0.188276,5400
t08,excitation_aware,0.057669,0.186230,0.072343,0.051665,0.002773,0.055699,0.590351,0.537333,0.132552,0.737306,5400
t08,friction_proxy,0.113507,0.252008,0.186829,0.112000,0.093986,0.125378,0.228667,0.160667,0.000000,-0.077114,5400
t08,old_latent,0.112354,0.251806,0.214230,0.084115,0.085291,0.114271,0.379200,0.266667,0.000000,-0.002715,5400
t08,oracle,0.021245,0.121364,0.022050,0.016344,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,5400
