task,protocol,control_mse,state_mae,late_intervention,overgrip_penalty,dropped_contact,shift_regret,observability_recall,excitation_coverage,update_abstention,utility,weight
t08,raw_tactile,0.126592,0.286371,0.210893,0.083761,0.121947,0.137072,0.175040,0.132000,0.000000,-0.238789,5400
t08,threshold,0.117290,0.271787,0.260291,0.153408,0.125639,0.102877,0.174200,0.123600,0.000000,-0.311234,5400
t09,constant,0.135014,0.256457,0.283222,0.032050,0.151063,0.093667,0.000000,0.000000,0.000000,-0.412146,5400
t09,ema_tactile,0.117613,0.254513,0.252013,0.071500,0.113817,0.109091,0.216480,0.158000,0.000000,-0.199074,5400
t09,excitation_aware,0.058076,0.186548,0.073143,0.051877,0.003183,0.055699,0.590351,0.537333,0.133762,0.733641,5400
t09,friction_proxy,0.114068,0.252316,0.188817,0.112000,0.095750,0.125378,0.228667,0.160667,0.000000,-0.085206,5400
t09,old_latent,0.113091,0.252171,0.216537,0.084115,0.087317,0.114271,0.379200,0.266667,0.000000,-0.012255,5400
t09,oracle,0.021286,0.121787,0.022227,0.016432,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,5400
t09,raw_tactile,0.127457,0.286795,0.213041,0.083761,0.124086,0.137072,0.175040,0.132000,0.000000,-0.248615,5400
t09,threshold,0.118182,0.272211,0.263156,0.153408,0.128020,0.102877,0.174200,0.123600,0.000000,-0.322748,5400
t10,constant,0.131747,0.255310,0.276026,0.032050,0.145619,0.093514,0.000000,0.000000,0.000000,-0.386606,5400
t10,ema_tactile,0.115890,0.253769,0.246862,0.071500,0.109380,0.109091,0.216480,0.158000,0.000000,-0.177856,5400
t10,excitation_aware,0.057274,0.185776,0.071636,0.051539,0.002291,0.055699,0.590351,0.537333,0.131284,0.741044,5400
t10,friction_proxy,0.112634,0.251580,0.184779,0.112000,0.091950,0.125378,0.228667,0.160667,0.000000,-0.067619,5400
t10,old_latent,0.111538,0.251340,0.212095,0.084115,0.083228,0.114271,0.379200,0.266667,0.000000,0.006898,5400
t10,oracle,0.021172,0.120827,0.021981,0.016300,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,5400
t10,raw_tactile,0.125714,0.285901,0.208533,0.083761,0.119456,0.137072,0.175040,0.132000,0.000000,-0.227879,5400
t10,threshold,0.116335,0.271345,0.257683,0.153408,0.123208,0.102877,0.174200,0.123600,0.000000,-0.299896,5400
t11,constant,0.142404,0.258822,0.301433,0.032050,0.164660,0.093972,0.000000,0.000000,0.000000,-0.465836,5400
t11,ema_tactile,0.121691,0.256327,0.265403,0.071500,0.124813,0.109091,0.216480,0.158000,0.000000,-0.252246,5400
t11,excitation_aware,0.059938,0.188404,0.076689,0.052846,0.005696,0.055699,0.590351,0.537333,0.139680,0.715336,5400
t11,friction_proxy,0.117488,0.254175,0.198472,0.112000,0.104922,0.125378,0.228667,0.160667,0.000000,-0.127517,5400
t11,old_latent,0.116858,0.253908,0.227857,0.084115,0.097240,0.114271,0.379200,0.266667,0.000000,-0.059287,5400
t11,oracle,0.021617,0.123520,0.022563,0.016828,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,5400
t11,raw_tactile,0.131457,0.288528,0.223817,0.083761,0.134887,0.137072,0.175040,0.132000,0.000000,-0.296857,5400
t11,threshold,0.122711,0.273974,0.277324,0.153408,0.139957,0.102877,0.174200,0.123600,0.000000,-0.379835,5400
