protocol,control_mse,state_mae,late_intervention,overgrip_penalty,dropped_contact,shift_regret,observability_recall,excitation_coverage,update_abstention,utility,weight
constant,0.133129,0.255789,0.279248,0.032050,0.148144,0.093579,0.000000,0.000000,0.000000,-0.395697,64800
ema_tactile,0.116619,0.254070,0.249122,0.071500,0.111352,0.109091,0.216480,0.158000,0.000000,-0.187125,64800
excitation_aware,0.057579,0.186109,0.072274,0.051688,0.002869,0.055699,0.590351,0.537333,0.132359,0.737596,64800
friction_proxy,0.113247,0.251917,0.186570,0.112000,0.093681,0.125378,0.228667,0.160667,0.000000,-0.075469,64800
old_latent,0.112217,0.251689,0.214030,0.084115,0.085056,0.114271,0.379200,0.266667,0.000000,-0.001522,64800
oracle,0.021221,0.121248,0.022072,0.016359,0.000000,0.024518,0.990000,0.980000,0.000000,1.000000,64800
raw_tactile,0.126433,0.286267,0.210476,0.083761,0.121542,0.137072,0.175040,0.132000,0.000000,-0.236893,64800
threshold,0.117171,0.271733,0.260094,0.153408,0.125379,0.102877,0.174200,0.123600,0.000000,-0.310114,64800
